a,e,i,O,w,M,H
2.69285107,0.689653814,21.4670715,344.489166,248.792084,214.16152999999997,21.7637444
2.72487831,0.633910954,16.178735699999997,351.250885,175.957825,231.320694,22.270299899999998
2.58493304,0.8596688509999999,13.369226500000002,303.35836800000004,181.26915,114.55032299999999,21.5950508
2.27709174,0.736635149,8.78451157,309.374237,254.97479199999998,44.6592751,21.2737331
2.55435634,0.622879624,23.444044100000003,69.7351151,26.423181500000002,221.58268700000002,22.7573471
0.90483135,0.254917502,41.072002399999995,137.542068,114.22330500000001,51.0461807,23.3061008
1.68987036,0.878320098,39.5461922,269.508942,192.69923400000002,288.402832,23.2475796
1.72281849,0.7602183220000001,42.6192093,3.75908375,188.513687,136.03758200000001,22.030920000000002
1.93737268,0.49142271299999996,14.400590900000001,207.685745,20.8334694,156.912399,22.2867985
1.82595325,0.676697969,20.567710899999998,98.5034256,328.984833,319.30319199999997,22.3263226
1.71659422,0.46520224200000004,44.8402977,260.60290499999996,234.17707799999997,15.2692471,23.2722282
2.22012544,0.732438087,16.378355,202.826523,105.206558,341.745819,20.9651794
2.77649498,0.65757829,30.541217800000002,311.340729,19.4476471,328.66445899999997,23.4146633
2.44900465,0.587793469,20.0521603,164.695801,290.327911,65.80065920000001,23.0990982
1.68419385,0.471599489,43.0075455,160.863724,92.576828,289.985199,22.396182999999997
1.29321659,0.26132288600000003,68.45857240000001,77.69744870000001,273.276489,358.007721,23.4629688
1.41707933,0.46566817200000005,43.1127663,54.170902299999995,281.525299,88.1944199,22.9253807
2.74271727,0.635744214,10.5456705,285.589264,20.2485104,42.3063316,22.7711029
2.62132263,0.763102293,34.2196503,133.875641,2.40807652,85.8031693,23.4822178
2.9516077,0.7153328059999999,17.042738,83.9010773,315.735687,293.501801,22.598629000000003
2.08399534,0.555319726,9.0927763,129.309479,25.283844000000002,300.036255,21.2964802
1.41465759,0.573929489,30.570074100000003,175.59703100000002,281.011414,150.168259,23.380003
